"id","time_start","time_finish","task1_start","task1_finish","task2_start","task2_finish","task3_start","task3_finish","condition_id","first_task","second_task","third_task","first_algorithm","second_algorithm","third_algorithm","age","gender","nationality","experience","consumption","task1_movie","task1_series","task1_search","task2_movie","task2_series","task2_search","task3_movie","task3_series","task3_search","algorithm1_movie","algorithm1_series","algorithm1_search","algorithm2_movie","algorithm2_series","algorithm2_search","algorithm3_movie","algorithm3_series","algorithm3_search","cn_1_1","cn_1_2","cn_1_3","cn_2_1","cn_2_2","cn_2_3","en_1_1","en_1_2","en_1_3","se_1_1","se_1_2","se_1_3","eval_1_1","eval_1_2","eval_1_3","eval_2_1","eval_2_2","eval_2_3","eval_3_1","eval_3_2","eval_3_3","feedback"
33,"1738240819082","1738241119952","1738241077825","1738241102409","1738240962327","1738240980598","1738241024649","1738241050136",32,2,3,1,3,2,1,31,"Male","Lithuanian",2,"9-12",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4,2,5,5,5,5,3,4,3,3,3,5,4,5,4,4,3,5,4,4,"."
22,"1738237340262","1738237599573","1738237478408","1738237537491","1738237423072","1738237452410","1738237560075","1738237585561",21,2,1,3,2,1,3,26,"Female","Dutch",5,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4,4,5,4,5,1,3,1,3,3,3,4,5,4,5,5,4,2,5,3,"-"
42,"1738245822185","1738246243495","1738246192050","1738246222869","1738246103927","1738246148570","1738245968785","1738245996356",5,3,2,1,1,2,3,31,"Male","Dutch",2,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3,5,4,5,5,3,2,4,2,2,4,4,5,5,4,5,5,3,2,5,"-"
37,"1738244970398","1738246697386","1738245093558","1738245121630","1738245186983","1738245199374","1738245230895","1738245238375",0,1,2,3,1,2,3,31,"Male","Dutch",5,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,4,5,5,5,2,2,3,1,1,1,5,5,5,4,4,4,4,4,4,"Unfortunately this made me want to watch Inception and Dune (again), thanks for the 5+- hour loss."
47,"1738317491321","1738317754911","1738317641962","1738317658380","1738317689736","1738317727087","1738317591932","1738317599490",10,3,1,2,1,3,2,23,"Female","Dutch",3,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,4,2,4,4,3,1,4,1,1,2,4,2,4,2,3,4,3,1,4,"Jallaaaaa you gooooooo"
24,"1738237520058","1738237886350","1738237827126","1738237869825","1738237756300","1738237785741","1738237626719","1738237711276",23,3,2,1,2,1,3,35,"Male","Dutch",3,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,2,2,4,4,3,2,2,2,2,2,2,3,3,2,3,2,2,3,3,2,"The more information question showed several times, but I felt like there was not any more information on the screen.

"
23,"1738237388235","1738238015401","1738237882746","1738237934397","1738237975819","1738237984526","1738237654233","1738237724941",22,3,1,2,2,1,3,25,"Female","Dutch",4,"3-6",True,True,False,False,False,False,True,True,False,True,True,False,True,True,False,False,False,False,4,4,5,5,4,4,3,3,3,3,3,3,4,4,5,5,4,4,4,2,4,NULL
35,"1738243817509","1738244238598","1738244114108","1738244160592","1738244185757","1738244215069","1738244001044","1738244081214",34,3,1,2,3,2,1,24,"Female","Dutch",4,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,3,4,4,4,4,3,3,3,2,2,5,5,5,4,4,4,3,2,5,"Succes met je studiee <3"
26,"1738238068318","1738238344975","1738238183562","1738238193530","1738238317885","1738238326589","1738238244491","1738238271204",25,1,3,2,3,1,2,32,"Male","Dutch",5,">12",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,4,5,5,4,5,4,4,4,2,4,2,3,5,5,4,4,5,4,4,5,NULL
36,"1738244030393","1738244358585","1738244306554","1738244337995","1738244259162","1738244271724","1738244173364","1738244201788",35,3,2,1,3,2,1,19,"Male","Dutch",4,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,5,3,5,5,5,4,4,3,4,4,4,5,5,5,5,5,5,4,5,5,"Nothing to report"
