imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,season_count,banner_url
tt0111161,190,movie,The Shawshank Redemption,1994,Drama,142,"Tim Robbins,Morgan Freeman,Bob Gunton",9.3,2951537,16,MOVIE,
tt0468569,116,movie,The Dark Knight,2008,"Action,Crime,Drama",152,"Christian Bale,Christian Bale,Heath Ledger",9.0,2932755,12,MOVIE,
tt1375666,113,movie,Inception,2010,"Action,Adventure,Sci-Fi",148,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",8.8,2602797,12,MOVIE,
tt0137523,247,movie,Fight Club,1999,Drama,139,"Brad Pitt,Edward Norton,Meat Loaf",8.8,2383290,16,MOVIE,
tt0109830,294,movie,Forrest Gump,1994,"Drama,Romance",142,"Tom Hanks,Gary Sinise,Michael Conner Humphreys",8.8,2309135,12,MOVIE,
tt0110912,228,movie,Pulp Fiction,1994,"Crime,Drama",154,"John Travolta,Samuel L. Jackson,Bruce Willis",8.9,2266486,16,MOVIE,
tt0816692,131079,movie,Interstellar,2014,"Adventure,Drama,Sci-Fi",169,"Matthew McConaughey,John Lithgow,Timothée Chalamet",8.7,2174618,12,MOVIE,
tt0133093,169,movie,The Matrix,1999,"Action,Sci-Fi",136,"Keanu Reeves,Laurence Fishburne,Hugo Weaving",8.7,2095633,16,MOVIE,
tt0120737,107,movie,The Lord of the Rings: The Fellowship of the Ring,2001,"Action,Adventure,Drama",178,"Elijah Wood,Ian McKellen,Orlando Bloom",8.9,2050132,12,MOVIE,
tt0167260,74,movie,The Lord of the Rings: The Return of the King,2003,"Action,Adventure,Drama",201,"Elijah Wood,Viggo Mortensen,Ian McKellen",9.0,2020505,12,MOVIE,
tt1345836,222,movie,The Dark Knight Rises,2012,"Action,Drama,Thriller",164,"Christian Bale,Christian Bale,Tom Hardy",8.4,1862995,12,MOVIE,
tt0114369,268,movie,Se7en,1995,"Crime,Drama,Mystery",127,"Morgan Freeman,Brad Pitt,Kevin Spacey",8.6,1842802,16,MOVIE,
tt0167261,157,movie,The Lord of the Rings: The Two Towers,2002,"Action,Adventure,Drama",179,"Elijah Wood,Ian McKellen,Viggo Mortensen",8.8,1821645,12,MOVIE,
tt1853728,289,movie,Django Unchained,2012,"Comedy,Drama,Western",165,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",8.5,1733984,16,MOVIE,
tt0172495,419,movie,Gladiator,2000,"Action,Adventure,Drama",155,"Russell Crowe,Joaquin Phoenix,Oliver Reed",8.5,1663928,16,MOVIE,
tt0993846,389,movie,The Wolf of Wall Street,2013,"Biography,Comedy,Crime",180,"Leonardo DiCaprio,Jonah Hill,Matthew McConaughey",8.2,1625756,16,MOVIE,
tt0361748,397,movie,Inglourious Basterds,2009,"Adventure,Drama,War",153,"Brad Pitt,Eli Roth,Christoph Waltz",8.4,1622319,16,MOVIE,
tt0102926,15030,movie,The Silence of the Lambs,1991,"Crime,Drama,Thriller",118,"Anthony Hopkins,Scott Glenn,Ted Levine",8.6,1583081,16,MOVIE,
tt7286456,7644,movie,Joker,2019,"Crime,Drama,Thriller",122,"Joaquin Phoenix,Robert De Niro,Brett Cullen",8.4,1548042,16,MOVIE,
tt0120815,569,movie,Saving Private Ryan,1998,"Drama,War",169,"Tom Hanks,Matt Damon,Tom Sizemore",8.6,1525923,16,MOVIE,
tt1130884,558,movie,Shutter Island,2010,"Drama,Mystery,Thriller",138,"Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley",8.2,1496097,16,MOVIE,
tt0108052,223,movie,Schindler's List,1993,"Biography,Drama,History",195,"Liam Neeson,Ralph Fiennes,Ben Kingsley",9.0,1480607,16,MOVIE,
tt0848228,31,movie,The Avengers,2012,"Action,Sci-Fi",143,"Robert Downey Jr.,Robert Downey Jr.,Chris Evans",8.0,1480218,12,MOVIE,
tt0482571,302,movie,The Prestige,2006,"Drama,Mystery,Sci-Fi",130,"Christian Bale,Hugh Jackman,Michael Caine",8.5,1470932,12,MOVIE,
tt0407887,590,movie,The Departed,2006,"Crime,Drama,Thriller",151,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",8.5,1448216,16,MOVIE,
tt0120689,308,movie,The Green Mile,1999,"Crime,Drama,Fantasy",189,"Tom Hanks,Michael Clarke Duncan,David Morse",8.6,1438515,16,MOVIE,
tt0499549,165,movie,Avatar,2009,"Action,Adventure,Fantasy",162,"Sam Worthington,Stephen Lang,Giovanni Ribisi",7.9,1405251,12,MOVIE,
tt0209144,434,movie,Memento,2000,"Mystery,Thriller",113,"Guy Pearce,Joe Pantoliano,Mark Boone Junior",8.4,1345318,16,MOVIE,
tt0120338,231,movie,Titanic,1997,"Drama,Romance",194,"Leonardo DiCaprio,Billy Zane,Bill Paxton",7.9,1308501,12,MOVIE,
tt4154796,148,movie,Avengers: Endgame,2019,"Action,Adventure,Drama",181,"Robert Downey Jr.,Robert Downey Jr.,Chris Evans",8.4,1304314,12,MOVIE,
tt2015381,26,movie,Guardians of the Galaxy,2014,"Action,Adventure,Comedy",121,"Chris Pratt,Vin Diesel,Bradley Cooper",8.0,1292313,12,MOVIE,
tt0110413,234,movie,Léon: The Professional,1994,"Action,Crime,Drama",110,"Jean Reno,Gary Oldman,Danny Aiello",8.5,1269580,16,MOVIE,
tt4154756,8,movie,Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",149,"Robert Downey Jr.,Robert Downey Jr.,Chris Hemsworth",8.4,1238250,12,MOVIE,
tt0325980,64,movie,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action,Adventure,Fantasy",143,"Johnny Depp,Geoffrey Rush,Orlando Bloom",8.1,1233972,12,MOVIE,
tt0120382,1240,movie,The Truman Show,1998,"Comedy,Drama",103,"Jim Carrey,Ed Harris,Noah Emmerich",8.2,1231119,6,MOVIE,
tt0169547,445,movie,American Beauty,1999,Drama,122,"Kevin Spacey,Wes Bentley,Peter Gallagher",8.3,1226531,16,MOVIE,
tt0910970,516,movie,WALL·E,2008,"Adventure,Animation,Family",98,"Ben Burtt,Ben Burtt,Jeff Garlin",8.4,1225331,AL,MOVIE,
tt0266697,908,movie,Kill Bill: Vol. 1,2003,"Action,Crime,Thriller",111,"David Carradine,Michael Madsen,Shin'ichi Chiba",8.2,1218993,UNAVAILABLE,MOVIE,
tt0120586,896,movie,American History X,1998,"Crime,Drama",119,"Edward Norton,Edward Furlong,Ethan Suplee",8.5,1205056,UNAVAILABLE,MOVIE,
tt0103064,412,movie,Terminator 2: Judgment Day,1991,"Action,Adventure,Sci-Fi",137,"Arnold Schwarzenegger,Edward Furlong,Robert Patrick",8.6,1197957,16,MOVIE,
tt0434409,528,movie,V for Vendetta,2005,"Action,Drama,Sci-Fi",132,"Hugo Weaving,Hugo Weaving,Rupert Graves",8.1,1193993,UNAVAILABLE,MOVIE,
tt0110357,377,movie,The Lion King,1994,"Adventure,Animation,Drama",88,"Matthew Broderick,Jeremy Irons,James Earl Jones",8.5,1166682,AL,MOVIE,
tt0114814,1048,movie,The Usual Suspects,1995,"Crime,Drama,Mystery",106,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",8.5,1162863,16,MOVIE,
tt1049413,315,movie,Up,2009,"Adventure,Animation,Comedy",96,"Edward Asner,Jordan Nagai,John Ratzenberger",8.3,1149077,6,MOVIE,
tt0371746,108,movie,Iron Man,2008,"Action,Adventure,Sci-Fi",126,"Robert Downey Jr.,Terrence Howard,Jeff Bridges",7.9,1146091,12,MOVIE,
