imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,banner_url,season_count
tt0098911,73983,series,Shortland Street,1992,Drama,30,"Michael Galvin,Michael Galvin,Michael Galvin",4.6,1089,UNAVAILABLE,https://artworks.thetvdb.com/banners/series/73983/backgrounds/5f09336b8f6c9.jpg,33
tt0101054,74197,series,The Brittas Empire,1991,Comedy,30,"Chris Barrie,Chris Barrie,Chris Barrie",7.1,3881,TV-PG,https://artworks.thetvdb.com/banners/v4/series/74197/backgrounds/65dcf3a03d215.jpg,7
tt0101076,75475,series,Darkwing Duck,1991,"Action,Adventure,Animation",30,"Jim Cummings,Jim Cummings,Jim Cummings",7.6,18006,TV-Y7,https://artworks.thetvdb.com/banners/v4/series/75475/backgrounds/61fbdfe989904.jpg,3
tt0101121,78123,series,Homefront,1991,"Drama,History,Romance",60,"Kyle Chandler,Ken Jenkins,Harry O'Reilly",8.9,1452,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/78123/backgrounds/61b12702ed785.jpg,2
tt0101177,76863,series,The Red Green Show,1991,Comedy,25,"Steve Smith,Steve Smith,Patrick McKenna",8.1,3045,TV-PG,https://artworks.thetvdb.com/banners/series/76863/backgrounds/5ef6b4077a6b3.jpg,15
tt0101226,74988,series,Tropical Heat,1991,"Action,Comedy,Crime",60,"Rob Stewart,Ian Tracey,Ari Sorko-Ram",7.6,1980,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/74988/backgrounds/647a2398903c5.jpg,3
tt0101265,111490,movie,Absolute Strangers,1991,Drama,96,"Henry Winkler,Richard Kiley,Karl Malden",5.9,208,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/111490/backgrounds/66a453c4c2773.jpg,MOVIE
tt0101414,226,movie,Beauty and the Beast,1991,"Animation,Family,Fantasy",84,"Robby Benson,Jesse Corti,Rex Everhart",8.0,485346,G,https://artworks.thetvdb.com/banners/v4/movie/226/backgrounds/64fb1985f29d7.jpg,MOVIE
tt0101854,180091,movie,False Arrest,1991,Drama,192,"Steven Bauer,Lane Smith,James Handy",6.3,356,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/180091/backgrounds/66a47ba5ce8e3.jpg,MOVIE
tt0102034,2537,movie,Highlander II: The Quickening,1991,"Action,Adventure,Fantasy",91,"Christopher Lambert,Sean Connery,Michael Ironside",4.2,48592,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/2537/backgrounds/6440b18fe7fdf.jpg,MOVIE
tt0102484,35488,movie,Murder in New Hampshire: The Pamela Smart Story,1991,"Crime,Drama,Thriller",100,"Chad Allen,Larry Drake,Hank Stratton",5.7,739,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/35488/backgrounds/66a7f81da1ae9.jpg,MOVIE
tt0103359,76168,series,Batman: The Animated Series,1992,"Action,Adventure,Animation",23,"Kevin Conroy,Kevin Conroy,Kevin Conroy",9.0,121043,TV-PG,https://artworks.thetvdb.com/banners/v4/series/76168/panels/60467c9f1df49.jpg,4
tt0103372,76926,series,Bob,1992,Comedy,30,"Bob Newhart,Timothy Fall,Andrew Bilgore",7.2,375,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/76926/backgrounds/6507863e1e809.jpg,2
tt0103380,74680,series,California Dreams,1992,"Comedy,Family,Music",30,"Michael Cade,Michael Cade,Michael Cade",7.0,1991,TV-G,https://artworks.thetvdb.com/banners/v4/series/74680/backgrounds/67113729568a3.jpg,5
tt0103428,78250,series,Goof Troop,1992,"Adventure,Animation,Comedy",22,"Rob Paulsen,Rob Paulsen,Rob Paulsen",6.8,9476,TV-Y,https://artworks.thetvdb.com/banners/series/78250/panels/5f7ff0b7896ae.jpg,2
tt0103429,78062,series,Are You Being Served? Again!,1992,Comedy,26,"John Inman,Frank Thornton,Nicholas Smith",7.7,1562,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/78062/backgrounds/66042ca346383.jpg,2
tt0103477,77088,series,The Little Mermaid,1992,"Adventure,Animation,Comedy",25,"Samuel E. Wright,Edan Gross,Kenneth Mars",6.7,6301,TV-Y,https://artworks.thetvdb.com/banners/series/77088/backgrounds/600301afa97fb.jpg,3
tt0103484,74340,series,Mad About You,1992,"Comedy,Romance",22,"Paul Reiser,John Pankow,Maui",6.8,25597,TV-14,https://artworks.thetvdb.com/banners/series/74340/panels/62000375.jpg,8
tt0103491,76577,series,Melrose Place,1992,"Drama,Romance",60,"Andrew Shue,Thomas Calabro,Doug Savant",6.0,13544,TV-14,https://artworks.thetvdb.com/banners/v4/series/76577/backgrounds/62f94c1b8cd38.jpg,7
tt0103564,78144,series,Tequila and Bonetti,1992,"Action,Comedy,Crime",60,"Jack Scalia,Charles Rocket,Brad Sanders",6.4,412,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/78144/backgrounds/64282f3465777.jpg,1
tt0103584,76115,series,X-Men,1992,"Action,Adventure,Animation",23,"Cedric Smith,Cedric Smith,Cedric Smith",8.4,51126,TV-Y7,https://artworks.thetvdb.com/banners/v4/series/76115/backgrounds/64d8fe443b04d.jpg,5
tt0103586,72452,series,The Young Indiana Jones Chronicles,1992,"Action,Adventure,Family",45,"Sean Patrick Flanery,George Hall,Corey Carrier",7.2,8818,TV-G,https://artworks.thetvdb.com/banners/v4/series/72452/backgrounds/63fa34cc47bf6.jpg,3
tt0103639,285,movie,Aladdin,1992,"Adventure,Animation,Comedy",90,"Scott Weinger,Robin Williams,Robin Williams",8.0,477788,G,https://artworks.thetvdb.com/banners/v4/movie/285/backgrounds/64fb1aa1da17e.jpg,MOVIE
tt0103874,1717,movie,Bram Stoker's Dracula,1992,"Fantasy,Horror,Romance",128,"Gary Oldman,Anthony Hopkins,Keanu Reeves",7.4,245024,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/1717/backgrounds/662793219b98f.jpg,MOVIE
tt0104575,150099,movie,Just Another Girl on the I.R.T.,1992,"Drama,Romance",92,"Kevin Thigpen,Jerard Washington,Tony Wilkes",6.3,1389,R,https://artworks.thetvdb.com/banners/movies/150099/backgrounds//xBFCF9qydlqmF4iBq03Ov2ZvBgp.jpg,MOVIE
tt0104990,10450,movie,Newsies,1992,"Drama,Family,History",121,"Christian Bale,Bill Pullman,Robert Duvall",6.9,22928,PG,https://artworks.thetvdb.com/banners/v4/movie/10450/backgrounds/67077ff03377f.jpg,MOVIE
tt0104994,134730,movie,Nickel & Dime,1992,Comedy,95,"C. Thomas Howell,Wallace Shawn,Roy Brocksmith",5.0,102,PG,https://artworks.thetvdb.com/banners/movies/134730/backgrounds/5e9a6c4a92799.jpg,MOVIE
tt0105017,9918,movie,Noises Off...,1992,Comedy,101,"Michael Caine,Denholm Elliott,Denholm Elliott",7.4,12712,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/9918/backgrounds/65e0035d62699.jpg,MOVIE
