imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,season_count,banner_url
tt0101414,226,movie,Beauty and the Beast,1991,"Animation,Fantasy",84,"Jesse Corti,Robby Benson,Rex Everhart",8.0,485346,AL,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/226/backgrounds/64fb1985f29d7.jpg
tt0102034,2537,movie,Highlander II: The Quickening,1991,"Action,Adventure,Fantasy",91,"Christopher Lambert,Michael Ironside,Sean Connery",4.2,48592,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/2537/backgrounds/6440b18fe7fdf.jpg
tt0103359,76168,series,Batman: The Animated Series,1992,"Action,Adventure,Animation",23,Kevin Conroy,9.0,121043,6,4,https://artworks.thetvdb.com/banners/v4/series/76168/panels/60467c9f1df49.jpg
tt0103484,74340,series,Mad About You,1992,"Comedy,Romance",22,"Maui,John Pankow,Paul Reiser",6.8,25597,12,8,https://artworks.thetvdb.com/banners/series/74340/panels/62000375.jpg
tt0103584,76115,series,X-Men,1992,"Action,Adventure,Animation",23,Cedric Smith,8.4,51126,6,5,https://artworks.thetvdb.com/banners/v4/series/76115/backgrounds/64d8fe443b04d.jpg
tt0103639,285,movie,Aladdin,1992,"Adventure,Animation,Comedy",90,"Robin Williams,Scott Weinger",8.0,477788,AL,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/285/backgrounds/64fb1aa1da17e.jpg
tt0103874,1717,movie,Bram Stoker's Dracula,1992,"Fantasy,Horror,Romance",128,"Gary Oldman,Anthony Hopkins,Keanu Reeves",7.4,245024,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/1717/backgrounds/662793219b98f.jpg
tt0104990,10450,movie,Newsies,1992,Drama,121,"Christian Bale,Robert Duvall,Bill Pullman",6.9,22928,6,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/10450/backgrounds/67077ff03377f.jpg
tt0105415,2940,movie,Singles,1992,"Comedy,Drama",99,"Campbell Scott,Jim True-Frost,Matt Dillon",6.7,33176,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/2940/backgrounds/651f4622773c7.jpg
tt0105695,1504,movie,Unforgiven,1992,Drama,130,"Clint Eastwood,Gene Hackman,Morgan Freeman",8.2,442888,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/movies/1504/backgrounds/5f7965f8641aa.jpg
tt0105929,73314,series,Absolutely Fabulous,1992,Comedy,45,Christopher Malcolm,8.2,21894,12,6,https://artworks.thetvdb.com/banners/v4/series/73314/backgrounds/661bc3b271964.jpg
tt0105946,70726,series,Babylon 5,1993,"Action,Adventure,Drama",45,"Andreas Katsulas,Richard Biggs,Stephen Furst",8.4,35188,6,5,https://artworks.thetvdb.com/banners/v4/series/70726/backgrounds/6160b322b9afe.jpg
tt0105958,71889,series,Boy Meets World,1993,"Comedy,Drama",23,Ben Savage,8.1,47194,AL,7,https://artworks.thetvdb.com/banners/v4/series/71889/backgrounds/65120da4a2770.jpg
tt0106057,72468,series,Lois & Clark: The New Adventures of Superman,1993,"Adventure,Comedy,Drama",46,Dean Cain,6.7,27077,6,4,https://artworks.thetvdb.com/banners/v4/series/72468/backgrounds/6366fd419bb0b.jpg
