imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,season_count
tt0102926,15030,movie,The Silence of the Lambs,1991,"Crime,Drama,Thriller",118,"Anthony Hopkins,Scott Glenn,Ted Levine",8.6,1583081,16,MOVIE
tt0103874,1717,movie,Bram Stoker's Dracula,1992,"Fantasy,Horror,Romance",128,"Gary Oldman,Anthony Hopkins,Keanu Reeves",7.4,245024,UNAVAILABLE,MOVIE
tt0114369,268,movie,Se7en,1995,"Crime,Drama,Mystery",127,"Morgan Freeman,Brad Pitt,Kevin Spacey",8.6,1842802,16,MOVIE
tt0120689,308,movie,The Green Mile,1999,"Crime,Drama,Fantasy",189,"Tom Hanks,Michael Clarke Duncan,David Morse",8.6,1438515,16,MOVIE
tt0130018,2678,movie,I Still Know What You Did Last Summer,1998,"Horror,Mystery,Thriller",100,"Freddie Prinze Jr.,Muse Watson,Mekhi Phifer",4.8,80143,UNAVAILABLE,MOVIE
tt0266543,256,movie,Finding Nemo,2003,"Adventure,Animation,Comedy",100,"Albert Brooks,Alexander Gould,Willem Dafoe",8.2,1132881,AL,MOVIE
tt0460649,75760,series,How I Met Your Mother,2005,"Comedy,Drama,Romance",23,"Jason Segel,Neil Patrick Harris,Josh Radnor",8.3,743079,12,9
tt0468569,116,movie,The Dark Knight,2008,"Action,Crime,Drama",152,"Christian Bale,Christian Bale,Heath Ledger",9.0,2932755,12,MOVIE
tt0499549,165,movie,Avatar,2009,"Action,Adventure,Fantasy",162,"Sam Worthington,Stephen Lang,Giovanni Ribisi",7.9,1405251,12,MOVIE
tt0773262,79349,series,Dexter,2006,"Crime,Drama,Mystery",60,"Michael C. Hall,David Zayas",8.6,797243,16,8
tt0816692,131079,movie,Interstellar,2014,"Adventure,Drama,Sci-Fi",169,"Matthew McConaughey,John Lithgow,Timothée Chalamet",8.7,2174618,12,MOVIE
tt0903747,81189,series,Breaking Bad,2008,"Crime,Drama,Thriller",45,"Bryan Cranston,Aaron Paul,RJ Mitte",9.5,2218638,16,5
tt0944947,121361,series,Game of Thrones,2011,"Action,Adventure,Drama",60,"Nikolaj Coster-Waldau,Kit Harington,Peter Dinklage",9.2,2354072,16,8
tt1049413,315,movie,Up,2009,"Adventure,Animation,Comedy",96,"Edward Asner,Jordan Nagai,John Ratzenberger",8.3,1149077,6,MOVIE
tt1060277,1630,movie,Cloverfield,2008,"Action,Horror,Sci-Fi",85,"Michael Stahl-David,T.J. Miller,Mike Vogel",7.0,426717,UNAVAILABLE,MOVIE
tt1130884,558,movie,Shutter Island,2010,"Drama,Mystery,Thriller",138,"Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley",8.2,1496097,16,MOVIE
tt1190634,355567,series,The Boys,2019,"Action,Comedy,Crime",60,"Jack Quaid,Antony Starr,Karl Urban",8.7,728536,16,5
tt1345836,222,movie,The Dark Knight Rises,2012,"Action,Drama,Thriller",164,"Christian Bale,Christian Bale,Tom Hardy",8.4,1862995,12,MOVIE
tt1375666,113,movie,Inception,2010,"Action,Adventure,Sci-Fi",148,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",8.8,2602797,12,MOVIE
tt1475582,176941,series,Sherlock,2010,"Crime,Drama,Mystery",90,"Rupert Graves,Martin Freeman,Benedict Cumberbatch",9.1,1020666,12,4
tt1520211,153021,series,The Walking Dead,2010,"Drama,Horror,Thriller",45,"Andrew Lincoln,Norman Reedus",8.1,1108841,16,11
tt1588173,1924,movie,Warm Bodies,2013,"Comedy,Horror,Romance",98,"John Malkovich,Rob Corddry,Nicholas Hoult",6.8,246314,12,MOVIE
tt1843230,248835,series,Once Upon a Time,2011,"Adventure,Fantasy,Romance",60,"Robert Carlyle,Robert Carlyle,Robert Carlyle",7.7,239736,6,7
tt2015381,26,movie,Guardians of the Galaxy,2014,"Action,Adventure,Comedy",121,"Chris Pratt,Vin Diesel,Bradley Cooper",8.0,1292313,12,MOVIE
tt2262227,3569,movie,The Book of Life,2014,"Adventure,Animation,Comedy",95,"Diego Luna,Channing Tatum,Ron Perlman",7.2,79371,UNAVAILABLE,MOVIE
tt2560140,267440,series,Attack on Titan,2013,"Action,Adventure,Animation",24,"Bryce Papenbrook,Bryce Papenbrook,Yûki Kaji",9.1,551094,12,4
tt2861424,275274,series,Rick and Morty,2013,"Adventure,Animation,Comedy",23,Chris Parnell,9.1,622907,16,7
tt2934286,366524,series,Halo,2022,"Action,Adventure,Sci-Fi",60,"Danny Sapani,Bentley Kalu,Pablo Schreiber",7.3,98718,12,2
tt4574334,305288,series,Stranger Things,2016,"Drama,Fantasy,Horror",60,"Finn Wolfhard,David Harbour,Gaten Matarazzo",8.7,1383756,12,5
tt7826376,368211,series,Upload,2020,"Comedy,Mystery,Sci-Fi",30,"Kevin Bigley,Robbie Amell,Owen Daniels",7.8,82009,16,3
tt8111088,361753,series,The Mandalorian,2019,"Action,Adventure,Fantasy",40,"Pedro Pascal,Chris Bartlett",8.6,603617,12,3
tt8912936,181783,movie,DC League of Super-Pets,2022,"Action,Adventure,Animation",105,"Kevin Hart,Dwayne Johnson,John Krasinski",7.1,77137,6,MOVIE
tt9018736,385925,series,Avatar: The Last Airbender,2024,"Action,Adventure,Comedy",55,"Ian Ousley,Gordon Cormier,Dallas Liu",7.2,75423,6,2
tt9764362,337249,movie,The Menu,2022,"Comedy,Horror,Thriller",107,"Paul Adelstein,Ralph Fiennes,Nicholas Hoult",7.2,418399,16,MOVIE
tt14153790,396625,series,Velma,2023,"Adventure,Animation,Comedy",25,"Sam Richardson,Glenn Howerton",1.6,79346,16,2
tt15428134,336664,movie,Dunki,2023,"Action,Adventure,Comedy",160,"Deven Bhojani,Ketan Desai,Ryan Cretney",6.5,78714,UNAVAILABLE,MOVIE
